GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2021-11-11,Clippers,Heat,2021,112,0.473,0.882,0.297,20,42,109,0.443,0.824,0.22,18,50,1
2021-11-10,Cavaliers,Wizards,2021,94,0.461,0.714,0.29,21,40,97,0.417,1,0.357,25,49,0
2021-11-10,Magic,Nets,2021,90,0.38,0.667,0.121,19,49,123,0.505,0.882,0.432,29,49,0
2021-11-10,Celtics,Raptors,2021,104,0.447,0.667,0.345,21,44,88,0.429,0.842,0.24,20,41,1
2021-11-10,Knicks,Bucks,2021,100,0.434,0.706,0.432,19,38,112,0.444,0.667,0.52,29,50,0
2021-11-10,Rockets,Pistons,2021,104,0.427,0.647,0.353,17,42,112,0.433,0.667,0.333,23,49,0
2021-11-10,Bulls,Mavericks,2021,117,0.506,0.857,0.484,26,46,107,0.458,0.792,0.364,23,43,1
2021-11-10,Grizzlies,Hornets,2021,108,0.421,0.6,0.237,27,57,118,0.456,0.875,0.417,32,49,0
2021-11-10,Pelicans,Thunder,2021,100,0.351,0.719,0.257,24,50,108,0.425,0.8,0.294,23,56,0
2021-11-10,Spurs,Kings,2021,136,0.533,0.645,0.563,34,43,117,0.516,0.813,0.278,20,44,1
2021-11-10,Nuggets,Pacers,2021,101,0.429,0.85,0.4,19,39,98,0.476,0.636,0.355,22,48,1
2021-11-10,Suns,Trail Blazers,2021,119,0.521,0.833,0.393,27,39,109,0.484,0.875,0.233,24,46,1
2021-11-10,Warriors,Timberwolves,2021,123,0.471,0.8,0.275,23,53,110,0.411,0.75,0.386,30,40,1
2021-11-10,Lakers,Heat,2021,120,0.5,0.625,0.474,26,50,117,0.417,0.771,0.27,26,47,1
2021-11-09,76ers,Bucks,2021,109,0.408,0.917,0.326,21,46,118,0.463,0.714,0.385,21,52,0
2021-11-09,Jazz,Hawks,2021,110,0.506,0.813,0.395,21,44,98,0.435,0.6,0.514,22,32,1
2021-11-09,Clippers,Trail Blazers,2021,117,0.518,0.684,0.533,25,43,109,0.473,0.75,0.378,29,43,1
2021-11-08,76ers,Knicks,2021,96,0.385,0.813,0.325,20,47,103,0.44,0.769,0.325,25,55,0
2021-11-08,Bulls,Nets,2021,118,0.469,0.85,0.29,21,56,95,0.395,0.842,0.333,19,42,1
2021-11-08,Grizzlies,Timberwolves,2021,125,0.5,0.846,0.393,28,51,118,0.423,0.826,0.378,23,45,1
2021-11-08,Mavericks,Pelicans,2021,108,0.506,0.615,0.4,27,46,92,0.425,0.818,0.265,27,39,1
2021-11-08,Nuggets,Heat,2021,113,0.462,0.708,0.293,28,49,96,0.397,0.84,0.361,22,37,1
2021-11-08,Warriors,Hawks,2021,127,0.478,0.955,0.409,31,39,113,0.463,0.769,0.395,21,35,1
2021-11-08,Kings,Suns,2021,104,0.451,0.769,0.417,18,46,109,0.473,0.818,0.4,28,38,0
2021-11-08,Lakers,Hornets,2021,126,0.484,0.714,0.406,30,51,123,0.434,0.821,0.333,23,55,1
2021-11-07,Raptors,Nets,2021,103,0.471,0.778,0.233,23,35,116,0.513,0.85,0.447,29,48,0
2021-11-07,Knicks,Cavaliers,2021,109,0.459,0.917,0.29,21,32,126,0.544,0.818,0.543,31,48,0
2021-11-07,Magic,Jazz,2021,107,0.494,0.818,0.375,24,39,100,0.382,0.828,0.19,21,50,1
2021-11-07,Wizards,Bucks,2021,101,0.506,0.615,0.407,24,42,94,0.394,0.556,0.278,17,49,1
2021-11-07,Kings,Pacers,2021,91,0.369,0.864,0.294,20,33,94,0.446,0.778,0.24,13,54,0
2021-11-07,Thunder,Spurs,2021,99,0.372,0.85,0.286,21,57,94,0.41,0.667,0.2,29,46,1
2021-11-07,Warriors,Rockets,2021,120,0.518,0.85,0.326,31,41,107,0.456,0.676,0.303,17,42,1
2021-11-07,Clippers,Hornets,2021,120,0.477,0.952,0.375,24,50,106,0.406,0.778,0.303,20,44,1
2021-11-06,Nuggets,Rockets,2021,95,0.404,0.824,0.225,19,45,94,0.467,0.667,0.286,19,47,1
2021-11-06,Heat,Jazz,2021,118,0.603,0.765,0.524,30,36,115,0.518,0.737,0.333,26,31,1
